moviename,release_date,budget,crore conversion,Currency conversion,year,cleaned_budget,cleaned_release_date,cleaned_budget_2,final_budget
The Legend of Tarzan,"
June 27, 2016 (2016-06-27) (Dolby Theatre)
July 1, 2016 (2016-07-01) (United States)
July 6, 2016 (2016-07-06) (United Kingdom)
July 7, 2016 (2016-07-07) (Australia)
",$180 million,1,1,2016,180000000,7/7/2016,180000000,180000000
The Angry Birds Movie,"
August 1, 2019 (2019-08-01) (United Kingdom and Ireland)
August 7, 2019 (2019-08-07) (Finland)
August 14, 2019 (2019-08-14) (United States)
",$65 million,1,1,2019,65000000,8/14/2019,65000000,65000000
Star Trek Beyond,"
July 7, 2016 (2016-07-07) (Sydney)
July 22, 2016 (2016-07-22) (United States)
",$185 million,1,1,2016,185000000,7/22/2016,185000000,185000000
The Great Wall,"
December 6, 2016 (2016-12-06) (Beijing)
December 16, 2016 (2016-12-16) (China)
February 17, 2017 (2017-02-17) (United States)
",$150 million,1,1,2016,150000000,2/17/2017,150000000,150000000
Now You See Me 2,"
June 6, 2016 (2016-06-06) (New York City)
June 10, 2016 (2016-06-10) (United States)
",$90–120 million,1,1,2016,120000000,6/10/2016,120000000,120000000
The Conjuring 2,"
June 7, 2016 (2016-06-07) (TCL Chinese Theatre)
June 10, 2016 (2016-06-10) (United States)
",$40 million,1,1,2016,40000000,6/10/2016,40000000,40000000
Resident Evil: The Final Chapter,"
December 23, 2016 (2016-12-23) (Tokyo)
January 25, 2017 (2017-01-25) (France)
January 26, 2017 (2017-01-26) (Germany)
January 27, 2017 (2017-01-27) (United States)
February 3, 2017 (2017-02-03) (United Kingdom)
",$40 million,1,1,2016,40000000,2/3/2017,40000000,40000000
Passengers,"
December 14, 2016 (2016-12-14) (Regency Village Theater)
December 21, 2016 (2016-12-21) (United States)
",$110–150 million,1,1,2016,150000000,12/21/2016,150000000,150000000
Alice Through the Looking Glass,"
May 10, 2016 (2016-05-10) (London)
May 27, 2016 (2016-05-27) (United States)
",$170 million,1,1,2016,170000000,5/27/2016,170000000,170000000
Miss Peregrine's Home for Peculiar Children,"
September 25, 2016 (2016-09-25) (Fantastic Fest)
September 30, 2016 (2016-09-30) (United Kingdom and United States)
",$110 million,1,1,2016,110000000,9/30/2016,110000000,110000000
Sully,"
September 2, 2016 (2016-09-02) (Telluride)
September 9, 2016 (2016-09-09) (United States)
",$60 million,1,1,2016,60000000,9/9/2016,60000000,60000000
Assassin's Creed,"
December 13, 2016 (2016-12-13) (New York City)
December 21, 2016 (2016-12-21) (United States and France)
",$125 million,1,1,2016,125000000,12/21/2016,125000000,125000000
Hidden Figures,"
December 10, 2016 (2016-12-10) (SVA Theatre)
December 25, 2016 (2016-12-25) (United States; limited release)
January 6, 2017 (2017-01-06) (wide release)
",$25 million,1,1,2016,25000000,1/6/2017,25000000,25000000
Inferno,"
October 8, 2016 (2016-10-08) (Florence)
October 28, 2016 (2016-10-28) (United States)
",$75 million,1,1,2016,75000000,10/28/2016,75000000,75000000
Central Intelligence,"
June 10, 2016 (2016-06-10) (Regency Village Theater)
June 17, 2016 (2016-06-17) (United States)
",$50 million,1,1,2016,50000000,6/17/2016,50000000,50000000
Bridget Jones's Baby,"
5 September 2016 (2016-09-05) (London)
16 September 2016 (2016-09-16) (United States/United Kingdom)
5 October 2016 (2016-10-05) (France)
",$35 million,1,1,2016,35000000,10/5/2016,35000000,35000000
Me Before You,"
23 May 2016 (2016-05-23) (New York City)
3 June 2016 (2016-06-03) (United Kingdom and United States)
",$20 million,1,1,2016,20000000,6/3/2016,20000000,20000000
London Has Fallen,"
March 1, 2016 (2016-03-01) (Hollywood)
March 4, 2016 (2016-03-04) (United States)
",$60 million,1,1,2016,60000000,3/4/2016,60000000,60000000
Arrival,"
September 1, 2016 (2016-09-01) (Venice)
November 11, 2016 (2016-11-11) (United States)
",$47 million,1,1,2016,47000000,11/11/2016,47000000,47000000
The Monkey King 2,"
20 January 2016 (2016-01-20) (Beijing premiere)
6 February 2016 (2016-02-06) (Hong Kong)
8 February 2016 (2016-02-08) (China[1])
",US$60–60.5 million,1,1,2016,5000000,2/8/2016,60500000,60500000
Bad Moms,"
July 19, 2016 (2016-07-19) (New York City)
July 29, 2016 (2016-07-29) (United States)
",$20 million,1,1,2017,20000000,7/29/2016,20000000,20000000
From Vegas to Macau III,"
6 February 2016 (2016-02-06) (Hong Kong)
8 February 2016 (2016-02-08) (China)
",US$40 million,1,1,2016,40000000,2/8/2016,40000000,40000000
Hacksaw Ridge,"
September 4, 2016 (2016-09-04) (Venice)
November 3, 2016 (2016-11-03) (Australia)
November 4, 2016 (2016-11-04) (United States)
",$40 million,1,1,2016,40000000,11/4/2016,40000000,40000000
Allegiant,"
March 8, 2016 (2016-03-08) (Bangkok)
March 18, 2016 (2016-03-18) (United States)
",$110–142 million,1,1,2016,142000000,3/18/2016,142000000,142000000
The Girl on the Train,"
September 20, 2016 (2016-09-20) (Odeon Leicester Square)
October 7, 2016 (2016-10-07) (United States)
",$45–50 million,1,1,2016,50000000,10/7/2016,50000000,50000000
The Huntsman: Winter's War,"
March 29, 2016 (2016-03-29) (Hamburg)
April 22, 2016 (2016-04-22) (United States)
",$115 million,1,1,2016,115000000,4/22/2016,115000000,115000000
The Magnificent Seven,"
September 8, 2016 (2016-09-08) (TIFF)
September 23, 2016 (2016-09-23) (United States)
",$90–107 million,1,1,2016,107000000,9/23/2016,107000000,107000000
Jack Reacher: Never Go Back,"
October 16, 2016 (2016-10-16) (New Orleans)
October 21, 2016 (2016-10-21) (United States)
",$60-96 million,1,1,2016,96000000,10/21/2016,96000000,96000000
The Accountant,"
October 10, 2016 (2016-10-10) (TCL Chinese Theatre)
October 14, 2016 (2016-10-14) (United States)
",$44 million,1,1,2016,44000000,10/14/2016,44000000,44000000
Lights Out,"
June 8, 2016 (2016-06-08) (Los Angeles Film Festival)
July 22, 2016 (2016-07-22) (United States)
",$4.9 million,1,1,2016,9000000,7/22/2016,4900000,4900000
Pete's Dragon,"
August 8, 2016 (2016-08-08) (El Capitan Theatre)
August 12, 2016 (2016-08-12) (United States)
",$65 million,1,1,2016,65000000,8/12/2016,65000000,65000000
Sausage Party,"
March 14, 2016 (2016-03-14) (SXSW)
August 12, 2016 (2016-08-12) (United States)
",$19 million,1,1,2016,19000000,8/12/2016,19000000,19000000
Skiptrace,"
July 21, 2016 (2016-07-21) (China)
September 2, 2016 (2016-09-02) (USA)
[1]",US$30–60 million,1,1,2016,60000000,9/2/2016,60000000,60000000
Mechanic: Resurrection,"
August 22, 2016 (2016-08-22) (ArcLight Hollywood)
August 26, 2016 (2016-08-26) (United States)
",$40 million,1,1,2016,40000000,8/26/2016,40000000,40000000
Deepwater Horizon,"
September 13, 2016 (2016-09-13) (TIFF)
September 30, 2016 (2016-09-30) (United States)
",$156 million (gross)$110–120 million (net),1,1,2016,120000000,9/30/2016,120000000,120000000
Allied,"
November 9, 2016 (2016-11-09) (Regency Village Theatre)
November 23, 2016 (2016-11-23) (United States)
November 25, 2016 (2016-11-25) (United Kingdom)
",$85–113 million,1,1,2016,113000000,11/25/2016,113000000,113000000
The Purge: Election Year,"
July 1, 2016 (2016-07-01) (United States)
",$10 million,1,1,2016,10000000,7/1/2016,10000000,10000000
Why Him?,"
December 17, 2016 (2016-12-17) (Los Angeles)
December 23, 2016 (2016-12-23) (United States)
",$38–52 million,1,1,2016,52000000,12/23/2016,52000000,52000000
Office Christmas Party,"
December 5, 2016 (2016-12-05) (New York City)
December 9, 2016 (2016-12-09) (United States)
",$45 million,1,1,2016,45000000,12/9/2016,45000000,45000000
How to Be Single,"
February 9, 2016 (2016-02-09) (London)
February 12, 2016 (2016-02-12) (United States)
",$38 million,1,1,2016,38000000,2/12/2016,38000000,38000000
10 Cloverfield Lane,"
March 8, 2016 (2016-03-08) (New York City)
March 11, 2016 (2016-03-11) (United States)
",$13–15 million,1,1,2016,15000000,3/11/2016,15000000,15000000
Neighbors 2: Sorority Rising,"
April 26, 2016 (2016-04-26) (Berlin)
May 20, 2016 (2016-05-20) (United States)
",$35 million,1,1,2016,35000000,5/20/2016,35000000,35000000
Railroad Tigers,"
December 23, 2016 (2016-12-23)
",US$50 Million,1,1,2016,50,12/23/2016,50,50
Dirty Grandpa,"
January 22, 2016 (2016-01-22) (United States)
",$11.5-25 million,1,1,2016,25000000,1/22/2016,25000000,25000000
Money Monster,"
May 12, 2016 (2016-05-12) (Cannes)
May 13, 2016 (2016-05-13) (United States)
",$27.4 million,1,1,2016,4000000,5/13/2016,27400000,27400000
Train to Busan,"
13 May 2016 (2016-05-13) (Cannes)
20 July 2016 (2016-07-20) (South Korea)
",$8.5 million,1,1,2016,5000000,7/20/2016,8500000,8500000
My Big Fat Greek Wedding 2,"
March 15, 2016 (2016-03-15) (New York City)
March 25, 2016 (2016-03-25) (United States)
",$18 million,1,1,2016,18000000,3/25/2016,18000000,18000000
Collateral Beauty,"
December 13, 2016 (2016-12-13) (Dubai)
December 16, 2016 (2016-12-16) (United States)
",$36–40.3 million,1,1,2016,3000000,12/16/2016,40300000,40300000
War Dogs,"
August 3, 2016 (2016-08-03) (New York City)
August 19, 2016 (2016-08-19) (United States)
",$50 million,1,1,2016,50000000,8/19/2016,50000000,50000000
Nerve,"
July 12, 2016 (2016-07-12) (SVA Theater)
July 27, 2016 (2016-07-27) (United States)
",$19 million,1,1,2016,19000000,7/27/2016,19000000,19000000
Underworld: Blood Wars,"
November 24, 2016 (2016-11-24) (International)
January 6, 2017 (2017-01-06) (United States)
",$35 million,1,1,2016,35000000,1/6/2017,35000000,35000000
Manchester by the Sea,"
January 23, 2016 (2016-01-23) (Sundance)
November 18, 2016 (2016-11-18) (United States)
",$9 million,1,1,2016,9000000,11/18/2016,9000000,9000000
Shin Godzilla,"
July 25, 2016 (2016-07-25) (Tokyo)
July 29, 2016 (2016-07-29) (Japan)
",US$15 million,1,1,2016,15000000,7/29/2016,15000000,15000000
Mike and Dave Need Wedding Dates,"
July 8, 2016 (2016-07-08) (United States)
",$33–35 million,1,1,2016,35000000,7/8/2016,35000000,35000000
Kubo and the Two Strings,"
August 13, 2016 (2016-08-13) (MIFF)
August 19, 2016 (2016-08-19) (United States)
",$60 million,1,1,2016,60000000,8/19/2016,60000000,60000000
Quo vado?,"
January 1, 2016 (2016-01-01)
",€10 million,1,1.08,2016,10000000,1/1/2016,10000000,10800000
Miracles from Heaven,"
February 21, 2016 (2016-02-21) (Dallas)
March 16, 2016 (2016-03-16) (United States)
",$14 million,1,1,2016,14000000,3/16/2016,14000000,14000000
Moonlight,"
September 2, 2016 (2016-09-02) (Telluride)
October 21, 2016 (2016-10-21) (United States)
",$1.5 million,1,1,2016,5000000,10/21/2016,1500000,1500000
Monster Trucks,"
December 21, 2016 (2016-12-21) (France)
January 13, 2017 (2017-01-13) (United States)
",$125 million,1,1,2016,125000000,1/13/2017,125000000,125000000
Fences,"
December 15, 2016 (2016-12-15) (Curran Theatre)
December 16, 2016 (2016-12-16) (United States)
",$24 million,1,1,2016,24000000,12/16/2016,24000000,24000000
"Hail, Caesar!","
February 1, 2016 (2016-02-01) (Regency Village Theater)
February 5, 2016 (2016-02-05) (United States)
",$22 million,1,1,2016,22000000,2/5/2016,22000000,22000000
The Nice Guys,"
May 11, 2016 (2016-05-11) (TCL Chinese Theatre)
May 20, 2016 (2016-05-20) (United States)
",$50 million,1,1,2016,50000000,5/20/2016,50000000,50000000
Nine Lives,"
31 July 2016 (2016-07-31) (Los Angeles)
3 August 2016 (2016-08-03) (France)
9 September 2016 (2016-09-09) (China)
",$30 million,1,1,2016,30000000,9/9/2016,30000000,30000000
Zoolander 2,"
February 4, 2016 (2016-02-04) (London)
February 12, 2016 (2016-02-12) (United States)
",$50–55 million,1,1,2016,55000000,2/12/2016,55000000,55000000
Barbershop: The Next Cut,"
April 6, 2016 (2016-04-06) (Los Angeles)
April 15, 2016 (2016-04-15) (United States)
",$20 million,1,1,2016,20000000,4/15/2016,20000000,20000000
The Age of Shadows,"
3 September 2016 (2016-09-03) (Venice)
7 September 2016 (2016-09-07) (South Korea)
",$8.62 million,1,1,2016,62000000,9/7/2016,8620000,8620000
A Chinese Odyssey: Part Three,"
September 14, 2016 (2016-09-14) (China)
",US$20 million,1,1,2016,20000000,9/14/2016,20000000,20000000
Patriots Day,"
November 17, 2016 (2016-11-17) (AFI Fest)
December 21, 2016 (2016-12-21) (United States)
",$45 million,1,1,2016,45000000,12/21/2016,45000000,45000000
The Finest Hours,"
January 25, 2016 (2016-01-25) (TCL Chinese Theatre)
January 29, 2016 (2016-01-29) (United States)
",$70–80 million,1,1,2016,80000000,1/29/2016,80000000,80000000
Two Is a Family,"
7 December 2016 (2016-12-07)
",$17.5 million,1,1,2016,5000000,12/7/2016,17500000,17500000
Florence Foster Jenkins,"
23 April 2016 (2016-04-23) (Belfast Film Festival)
6 May 2016 (2016-05-06) (United Kingdom)
13 July 2016 (2016-07-13) (France)
",$29 million,1,1,2016,29000000,7/13/2016,29000000,29000000
Mother's Day,"
April 13, 2016 (2016-04-13) (Los Angeles)
April 29, 2016 (2016-04-29) (United States)
",$25 million,1,1,2016,25000000,4/29/2016,25000000,25000000
A Monster Calls,"
September 10, 2016 (2016-09-10) (TIFF)
October 7, 2016 (2016-10-07) (Spain)
January 1, 2017 (2017-01-01) (United Kingdom)
",$43 million,1,1,2016,43000000,1/1/2017,43000000,43000000
Risen,"
February 15, 2016 (2016-02-15) (Dallas)
February 19, 2016 (2016-02-19) (United States)
",$20 million,1,1,2016,20000000,2/19/2016,20000000,20000000
Eddie the Eagle,"
12 December 2015 (2015-12-12) (Butt-Numb-A-Thon)
28 February 2016 (2016-02-28) (United States)
28 March 2016 (2016-03-28) (United Kingdom)
",$23 million,1,1,2016,23000000,3/28/2016,23000000,23000000
League of Gods,"
July 29, 2016 (2016-07-29)
",HK$300 millionUS$38 million,1,1,2016,38000000,7/29/2016,38000000,38000000
Almost Christmas,"
November 3, 2016 (2016-11-03) (Regency Village Theater)
November 11, 2016 (2016-11-11) (United States)
",$17 million,1,1,2016,17000000,11/11/2016,17000000,17000000
The Forest,"
January 8, 2016 (2016-01-08) (United States)
",$10 million,1,1,2016,10000000,1/8/2016,10000000,10000000
My Mom Is a Character 2,"
December 26, 2019 (2019-12-26) (Brazil)
",R$ 8 million(US$2.1 million),1,1,2016,1000000,12/26/2019,2100000,2100000
Hell or High Water,"
May 16, 2016 (2016-05-16) (Cannes)
August 12, 2016 (2016-08-12) (United States)
",$12 million,1,1,2016,12000000,8/12/2016,12000000,12000000
The Handmaiden,"
14 May 2016 (2016-05-14) (Cannes)
1 June 2016 (2016-06-01) (South Korea)
",₩10 billion(approx. $8.8 million),1,1,2016,8000000,6/1/2016,8800000,8800000
Snowden,"
July 21, 2016 (2016-07-21) (San Diego Comic-Con)
September 16, 2016 (2016-09-16) (United States)
September 22, 2016 (2016-09-22) (Germany)
",$40 million,1,1,2016,40000000,9/22/2016,40000000,40000000
Eye in the Sky,"
11 September 2015 (2015-09-11) (TIFF)
8 April 2016 (2016-04-08) (United Kingdom)
",$13 million,1,1,2016,13000000,4/8/2016,13000000,13000000
Billy Lynn's Long Halftime Walk,"
October 14, 2016 (2016-10-14) (NYFF)
November 11, 2016 (2016-11-11) (United States & China)
February 10, 2017 (2017-02-10) (United Kingdom)
",$40 million,1,1,2016,40000000,2/10/2017,40000000,40000000
Norm of the North,"
January 15, 2016 (2016-01-15) (United States)[1]
March 18, 2016 (2016-03-18) (Ireland)
",$18 million,1,1,2016,18000000,3/18/2016,18000000,18000000
When the Bough Breaks,"
September 9, 2016 (2016-09-09) (United States)
",$11 million,1,1,2016,11000000,9/9/2016,11000000,11000000
Nocturnal Animals,"
September 2, 2016 (2016-09-02) (Venice)
November 18, 2016 (2016-11-18) (United States)
",$22.5 million,1,1,2016,5000000,11/18/2016,22500000,22500000
Keeping Up with the Joneses,"
October 8, 2016 (2016-10-08) (Los Angeles)
October 21, 2016 (2016-10-21) (United States)
",$40 million,1,1,2016,40000000,10/21/2016,40000000,40000000
Jackie,"
September 7, 2016 (2016-09-07) (Venice)
December 2, 2016 (2016-12-02) (United States)
",$9 million,1,1,2016,9000000,12/2/2016,9000000,9000000
Masterminds,"
September 26, 2016 (2016-09-26) (TCL Chinese Theatre)
September 30, 2016 (2016-09-30) (United States)
",$25 million,1,1,2016,25000000,9/30/2016,25000000,25000000
Flight Crew,"
February 20, 2016 (2016-02-20) (Berlinale)
April 21, 2016 (2016-04-21) (Russia)
",$9 million  ₽650 million,1,1,2016,650000000,4/21/2016,650000000,650000000
M.S. Dhoni: The Untold Story,"
30 September 2016 (2016-09-30)
",est. ₹104 crore (US$14 million),1,1,2016,14000000,9/30/2016,14000000,14000000
The Brothers Grimsby,"
24 February 2016 (2016-02-24) (United Kingdom)
11 March 2016 (2016-03-11) (United States)
",$35 million,1,1,2016,35000000,3/11/2016,35000000,35000000
The Light Between Oceans,"
September 1, 2016 (2016-09-01) (Venice)
September 2, 2016 (2016-09-02) (United States)
November 1, 2016 (2016-11-01) (United Kingdom)
",$20 million,1,1,2016,20000000,11/1/2016,20000000,20000000
Born in China,"
August 12, 2016 (2016-08-12) (China)
April 21, 2017 (2017-04-21) (United States)
August 23, 2017 (2017-08-23) (France)
",$5–10 million,1,1,2016,10000000,8/23/2017,10000000,10000000
Call of Heroes,"released =
12 August 2016 (2016-08-12)
",US$32 million,1,1,2016,32000000,8/12/2016,32000000,32000000
Free State of Jones,"
June 16, 2016 (2016-06-16) (Atlanta)
June 24, 2016 (2016-06-24) (United States)
",$50 million,1,1,2016,50000000,6/24/2016,50000000,50000000
Whiskey Tango Foxtrot,"
March 4, 2016 (2016-03-04)
",$35 million,1,1,2016,35000000,3/4/2016,35000000,35000000
The Snow Queen 3: Fire and Ice,"
29 December 2016 (2016-12-29) (Russia)
",$6.3 million (360 million RUB),1,1,2016,360000000,12/29/2016,360000000,360000000
God's Not Dead 2,"
April 1, 2016 (2016-04-01)
",$5 million,1,1,2016,5000000,4/1/2016,5000000,5000000
The Founder,"
December 7, 2016 (2016-12-07) (Arclight Hollywood)
January 20, 2017 (2017-01-20) (United States)
",$7–25 million,1,1,2016,25000000,1/20/2017,25000000,25000000
Bad Santa 2,"
November 15, 2016 (2016-11-15) (New York City)
November 23, 2016 (2016-11-23) (United States)
",$26 million,1,1,2016,26000000,11/23/2016,26000000,26000000
Kevin Hart: What Now?,"
October 14, 2016 (2016-10-14)
",$9.9 million,1,1,2016,9000000,10/14/2016,9900000,9900000
Middle School: The Worst Years of My Life,"
October 7, 2016 (2016-10-07)
",$8.5 million,1,1,2016,5000000,10/7/2016,8500000,8500000
Triple 9,"
February 16, 2016 (2016-02-16) (Los Angeles)
February 26, 2016 (2016-02-26) (United States)
",$20 million,1,1,2016,20000000,2/26/2016,20000000,20000000
The Choice,"
February 5, 2016 (2016-02-05)
",$10 million,1,1,2016,10000000,2/5/2016,10000000,10000000
Star Wars: Episode VIII - The Last Jedi,"
December 9, 2017 (2017-12-09) (Shrine Auditorium)
December 15, 2017 (2017-12-15) (United States)
",$200–317 million,1,1,2017,317000000,12/15/2017,317000000,317000000
The Fate of the Furious,"
April 4, 2017 (2017-04-04) (Berlin)
April 14, 2017 (2017-04-14) (United States)
",$250–270 million,1,1,2017,270000000,4/14/2017,270000000,270000000
Despicable Me 3,"
June 14, 2017 (2017-06-14) (Annecy)
June 30, 2017 (2017-06-30) (United States)
",$80 million,1,1,2017,80000000,6/30/2017,80000000,80000000
Jumanji: Welcome to the Jungle,"
December 5, 2017 (2017-12-05) (Grand Rex)
December 20, 2017 (2017-12-20) (United States)
",$90–150 million,1,1,2017,150000000,12/20/2017,150000000,150000000
Spider-Man: Homecoming,"
June 28, 2017 (2017-06-28) (Hollywood)
July 7, 2017 (2017-07-07) (United States)
",$175 million,1,1,2017,175000000,7/7/2017,175000000,175000000
Wolf Warrior 2,"
27 July 2017 (2017-07-27) (China)
",CN¥200 million(US$30.1 million),1,1,2017,1000000,7/27/2017,30100000,30100000
Guardians of the Galaxy Vol. 2,"
April 10, 2017 (2017-04-10) (Tokyo)
May 5, 2017 (2017-05-05) (United States)
",$200 million,1,1,2017,200000000,5/5/2017,200000000,200000000
Thor: Ragnarok,"
October 10, 2017 (2017-10-10) (El Capitan Theatre)
November 3, 2017 (2017-11-03) (United States)
",$180 million,1,1,2017,180000000,11/3/2017,180000000,180000000
Coco,"
October 20, 2017 (2017-10-20) (Morelia)[4]
November 22, 2017 (2017-11-22) (United States)
",$175–225 million,1,1,2017,225000000,11/22/2017,225000000,225000000
Pirates of the Caribbean: Dead Men Tell No Tales,,Total (5 films): $1.274–1.364 billion,1,1,2017,36400000000,,136400000,136400000
Logan,"
February 17, 2017 (2017-02-17) (Berlinale)
March 3, 2017 (2017-03-03) (United States)
",$97–127 million,1,1,2017,127000000,3/3/2017,127000000,127000000
Transformers: The Last Knight,"
June 18, 2017 (2017-06-18) (Odeon Leicester Square)[1]
June 21, 2017 (2017-06-21) (United States)
",$217–260 million,1,1,2017,260000000,6/21/2017,260000000,260000000
Kong: Skull Island,"
February 28, 2017 (2017-02-28) (Empire, Leicester Square)
March 10, 2017 (2017-03-10) (United States)
",$185 million,1,1,2017,185000000,3/10/2017,185000000,185000000
Dunkirk,"
13 July 2017 (2017-07-13) (Odeon Leicester Square)
19 July 2017 (2017-07-19) (France)[3]
20 July 2017 (2017-07-20) (Netherlands)[3]
21 July 2017 (2017-07-21) (UK & US)[3]
",$100–150 million[nb 1],1,1,2017,1000000,7/21/2017,1000000,1000000
War for the Planet of the Apes,"
July 10, 2017 (2017-07-10) (SVA Theatre)[1]
July 14, 2017 (2017-07-14) (United States)
",$150 million,1,1,2017,150000000,7/14/2017,150000000,150000000
The Greatest Showman,"
December 8, 2017 (2017-12-08) (RMS Queen Mary 2)
December 20, 2017 (2017-12-20) (United States)
",$84 million,1,1,2017,84000000,12/20/2017,84000000,84000000
The Mummy,"
May 22, 2017 (2017-05-22) (State Theatre)
June 9, 2017 (2017-06-09) (United States)
",$125–195 million,1,1,2017,195000000,6/9/2017,195000000,195000000
Cars 3,"
May 23, 2017 (2017-05-23) (Kannapolis)
June 16, 2017 (2017-06-16) (United States)
",$175 million,1,1,2017,175000000,6/16/2017,175000000,175000000
Fifty Shades Darker,"
February 7, 2017 (2017-02-07) (Hamburg)
February 10, 2017 (2017-02-10) (United States)
",$55 million,1,1,2017,55000000,2/10/2017,55000000,55000000
Murder on the Orient Express,"
November 2, 2017 (2017-11-02) (Royal Albert Hall)
November 10, 2017 (2017-11-10) (United States)
",$55 million,1,1,2017,55000000,11/10/2017,55000000,55000000
xXx: Return of Xander Cage,"
January 5, 2017 (2017-01-05) (Mexico City)
January 20, 2017 (2017-01-20) (United States)
",$85 million,1,1,2017,85000000,1/20/2017,85000000,85000000
The Lego Batman Movie,"
January 29, 2017 (2017-01-29) (Dublin)[3]
February 9, 2017 (2017-02-09) (Denmark)
February 10, 2017 (2017-02-10) (United States)
March 30, 2017 (2017-03-30) (Australia)
",$80 million,1,1,2017,80000000,3/30/2017,80000000,80000000
Annabelle: Creation,"
June 19, 2017 (2017-06-19) (LAFF)
August 11, 2017 (2017-08-11) (United States)
",$15 million,1,1,2017,15000000,8/11/2017,15000000,15000000
Ferdinand,"
December 10, 2017 (2017-12-10) (Los Angeles)
December 15, 2017 (2017-12-15) (United States)
",$111 million,1,1,2017,111000000,12/15/2017,111000000,111000000
Split,"
September 26, 2016 (2016-09-26) (Fantastic Fest)
January 20, 2017 (2017-01-20) (United States)
",$9 million,1,1,2017,9000000,1/20/2017,9000000,9000000
Blade Runner 2049,"
October 3, 2017 (2017-10-03) (Dolby Theatre)
October 6, 2017 (2017-10-06) (United States)
",$150–185 million,1,1,2017,185000000,10/6/2017,185000000,185000000
Kung Fu Yoga,"
January 26, 2017 (2017-01-26) (Brunei, Taiwan)
January 28, 2017 (2017-01-28) (China)
",US$65 million,1,1,2017,65000000,1/28/2017,65000000,65000000
Journey to the West: The Demons Strike Back,"
January 28, 2017 (2017-01-28)
",$63.9 million,1,1,2017,9000000,1/28/2017,63900000,63900000
Alien: Covenant,"
May 4, 2017 (2017-05-04) (Odeon Leicester Square)
May 12, 2017 (2017-05-12) (United Kingdom)
May 19, 2017 (2017-05-19) (United States)
",$97–111 million,1,1,2017,111000000,5/19/2017,111000000,111000000
Paddington 2,"
5 November 2017 (2017-11-05) (London)
10 November 2017 (2017-11-10) (United Kingdom)
6 December 2017 (2017-12-06) (France)
",$40 million,1,1,2017,40000000,12/6/2017,40000000,40000000
Baby Driver,"
March 11, 2017 (2017-03-11) (SXSW)
June 28, 2017 (2017-06-28) (US and UK)
",$34 million,1,1,2017,34000000,6/28/2017,34000000,34000000
Valerian and the City of a Thousand Planets,"
17 July 2017 (2017-07-17) (Grauman's Chinese Theatre)
26 July 2017 (2017-07-26) (France)
","
€197 million (gross)(~$209 million)
$177–205 million (net)
",1,1,2017,205000000,7/26/2017,205000000,205000000
Geostorm,"
October 20, 2017 (2017-10-20) (United States)
",$120–130 million,1,1,2017,130000000,10/20/2017,130000000,130000000
The Emoji Movie,"
July 23, 2017 (2017-07-23) (Regency Village Theatre)
July 28, 2017 (2017-07-28) (United States)
",$50 million,1,1,2017,50000000,7/28/2017,50000000,50000000
A Dog's Purpose,"
January 27, 2017 (2017-01-27)
",$22 million,1,1,2017,22000000,1/27/2017,22000000,22000000
Smurfs: The Lost Village,"
April 5, 2017 (2017-04-05) (Belgium and Asia)
April 7, 2017 (2017-04-07) (United States)
December 8, 2019 (2019-12-08) (Europe)
",$60 million,1,1,2017,60000000,12/8/2019,60000000,60000000
The Shape of Water,"
August 31, 2017 (2017-08-31) (Venice)
December 1, 2017 (2017-12-01) (United States)
",$19.5–20 million,1,1,2017,20000000,12/1/2017,20000000,20000000
Pitch Perfect 3,"
November 30, 2017 (2017-11-30) (Sydney)
December 22, 2017 (2017-12-22) (United States)
",$45 million,1,1,2017,45000000,12/22/2017,45000000,45000000
Daddy's Home 2,"
November 5, 2017 (2017-11-05) (Regency Village Theater)
November 10, 2017 (2017-11-10) (United States)
",$69 million,1,1,2017,69000000,11/10/2017,69000000,69000000
The Post,"
December 14, 2017 (2017-12-14) (Newseum)
December 22, 2017 (2017-12-22) (United States)
",$50 million,1,1,2017,50000000,12/22/2017,50000000,50000000
Baywatch,"
May 13, 2017 (2017-05-13) (Miami)
May 25, 2017 (2017-05-25) (United States)
",$65–69 million,1,1,2017,69000000,5/25/2017,69000000,69000000
The Hitman's Bodyguard,"
August 18, 2017 (2017-08-18)
",$30-69 million,1,1,2017,69000000,8/18/2017,69000000,69000000
John Wick: Chapter 2,"
January 30, 2017 (2017-01-30) (ArcLight Hollywood)
February 10, 2017 (2017-02-10) (United States)
",$40 million,1,1,2017,40000000,2/10/2017,40000000,40000000
Ghost in the Shell,"
March 16, 2017 (2017-03-16) (Shinjuku)
March 31, 2017 (2017-03-31) (United States)
",$110 million,1,1,2017,110000000,3/31/2017,110000000,110000000
Darkest Hour,"
1 September 2017 (2017-09-01) (Telluride)
22 November 2017 (2017-11-22) (United States)
12 January 2018 (2018-01-12) (United Kingdom)
",$30 million,1,1,2017,30000000,1/12/2018,30000000,30000000
King Arthur: Legend of the Sword,"
8 May 2017 (2017-05-08) (TCL Chinese Theatre)
12 May 2017 (2017-05-12) (United States)
19 May 2017 (2017-05-19) (United Kingdom)
",$175 million,1,1,2017,175000000,5/19/2017,175000000,175000000
The Foreigner,"
24 September 2017 (2017-09-24) (Beijing)
30 September 2017 (2017-09-30) (China)
13 October 2017 (2017-10-13) (United States)
",$35 million,1,1,2017,35000000,10/13/2017,35000000,35000000
